time,user,result,city,device,action,download_size
2025-07-19 15:39:10,Ben,success,Wien,PC,login,small
2025-07-19 09:11:19,Clara,success,Wien,Tablet,login,small
2025-07-19 09:58:42,Ben,success,Wien,PC,login,small
2025-07-18 12:28:54,Eva,success,Wien,PC,login,small
2025-07-19 17:28:41,Anna,success,Wien,Tablet,login,small
2025-07-20 11:34:23,Ben,success,Wien,PC,login,small
2025-07-18 16:19:41,Anna,success,Wien,Tablet,login,small
2025-07-17 13:22:57,David,fail,Berlin,PC,login,small
2025-07-18 15:22:15,Ben,success,Berlin,PC,login,small
2025-07-19 16:35:24,Anna,success,Berlin,Tablet,login,small
2025-07-17 16:25:28,Eva,success,Wien,Handy,login,small
2025-07-20 16:44:26,Clara,success,Berlin,PC,login,small
2025-07-20 09:06:47,David,success,Wien,PC,login,small
2025-07-18 15:47:40,Clara,success,Wien,PC,login,small
2025-07-20 10:02:16,Clara,success,Wien,Handy,login,small
2025-07-19 16:22:22,Anna,success,Wien,Tablet,login,small
2025-07-20 15:27:55,Ben,success,Wien,Handy,login,small
2025-07-18 09:15:08,Clara,success,Wien,Tablet,login,small
2025-07-17 12:47:57,Eva,success,Wien,Handy,login,small
2025-07-20 16:43:53,David,success,Berlin,Tablet,login,small
2025-07-18 09:03:39,Ben,success,Wien,Handy,login,small
2025-07-18 15:48:41,Anna,success,Berlin,PC,login,small
2025-07-17 11:19:14,David,success,Wien,Tablet,login,small
2025-07-19 10:42:10,Ben,success,Berlin,Tablet,login,small
2025-07-17 09:55:44,Ben,success,Wien,PC,login,small
2025-07-18 15:25:11,Clara,success,Wien,Handy,login,small
2025-07-17 13:46:15,Ben,success,Berlin,Tablet,login,small
2025-07-19 17:24:32,David,success,Wien,Handy,login,small
2025-07-19 11:16:13,Clara,success,Wien,Tablet,login,small
2025-07-18 16:29:53,Anna,success,Berlin,PC,login,small
2025-07-18 15:52:40,David,fail,Berlin,Tablet,login,small
2025-07-18 17:52:48,Anna,fail,Berlin,PC,login,small
2025-07-18 10:59:23,Eva,fail,Wien,Handy,login,small
2025-07-19 14:39:00,Eva,fail,Paris,Tablet,login,small
2025-07-18 13:31:02,Ben,success,Berlin,PC,login,small
2025-07-18 10:46:00,Eva,success,Wien,PC,login,small
2025-07-18 17:14:22,Clara,success,Wien,Tablet,login,small
2025-07-18 14:01:29,Eva,success,Berlin,Handy,login,small
2025-07-18 13:31:59,David,success,Wien,PC,login,small
2025-07-17 12:47:55,David,success,Wien,Tablet,login,small
2025-07-18 12:48:20,Ben,success,Wien,PC,login,small
2025-07-18 10:22:39,David,success,Berlin,PC,login,small
2025-07-19 13:21:34,Anna,success,Berlin,Tablet,login,small
2025-07-19 10:44:32,Eva,success,Wien,Handy,login,small
2025-07-20 02:32:00,Clara,success,Wien,PC,download,large
2025-07-19 12:13:25,Clara,fail,Wien,Handy,login,small
2025-07-19 17:14:05,Anna,success,Wien,PC,login,small
2025-07-19 17:29:43,Eva,success,Wien,PC,login,small
2025-07-19 13:02:28,Anna,success,Wien,PC,login,small
2025-07-20 12:15:55,Eva,success,Wien,Handy,login,small
2025-07-18 13:07:27,Eva,fail,Wien,Tablet,login,small
2025-07-17 15:26:10,Ben,success,Wien,Tablet,login,small
2025-07-17 16:37:53,David,success,Wien,PC,login,small
2025-07-18 17:51:36,Ben,success,Wien,Tablet,login,small
2025-07-18 15:01:29,Anna,fail,Wien,Tablet,login,small
2025-07-18 14:00:49,Clara,fail,Wien,PC,login,small
2025-07-20 13:03:35,Anna,success,Berlin,PC,login,small
2025-07-19 12:10:34,David,success,Wien,PC,login,small
2025-07-20 17:21:18,David,fail,Wien,PC,login,small
2025-07-19 16:41:18,Eva,success,Wien,Handy,login,small
2025-07-19 14:17:09,David,success,Berlin,Tablet,login,small
2025-07-20 17:24:20,Anna,success,Wien,Tablet,login,small
2025-07-18 13:37:14,Ben,success,Berlin,PC,login,small
2025-07-19 12:58:33,David,fail,Wien,Tablet,login,small
2025-07-20 15:16:21,David,success,Wien,Tablet,login,small
2025-07-20 16:46:08,Eva,success,Wien,Handy,login,small
2025-07-20 10:44:26,Anna,success,Wien,Handy,login,small
2025-07-19 12:13:52,Anna,success,Wien,Handy,login,small
2025-07-18 17:59:58,Clara,success,Wien,Handy,login,small
2025-07-20 11:36:15,Anna,fail,Berlin,PC,login,small
2025-07-20 16:18:26,Clara,success,Berlin,PC,login,small
2025-07-20 11:18:24,Ben,success,Berlin,Tablet,login,small
2025-07-18 14:22:59,Clara,fail,Wien,Tablet,login,small
2025-07-17 09:11:06,David,success,Wien,PC,login,small
2025-07-17 10:57:58,Eva,fail,Berlin,PC,login,small
2025-07-18 14:36:43,Eva,success,Wien,Tablet,login,small
2025-07-19 10:20:47,Eva,success,Wien,PC,login,small
2025-07-17 11:51:24,Clara,success,Wien,Handy,login,small
2025-07-18 10:29:18,Eva,success,Wien,PC,login,small
2025-07-18 12:24:28,Clara,success,Wien,Tablet,login,small
2025-07-17 15:20:50,Eva,success,Wien,Tablet,login,small
2025-07-20 13:41:46,Clara,fail,Berlin,PC,login,small
2025-07-18 09:44:21,Eva,success,Wien,Tablet,login,small
2025-07-20 10:04:44,Clara,success,Wien,PC,login,small
2025-07-19 16:46:10,Anna,fail,Wien,Handy,login,small
2025-07-17 10:31:52,Ben,fail,Wien,Handy,login,small
2025-07-19 15:45:02,Ben,success,Wien,Handy,login,small
2025-07-18 15:34:00,Anna,fail,Wien,PC,login,small
2025-07-17 13:12:19,David,success,Wien,Handy,login,small
2025-07-20 10:45:05,Anna,fail,Wien,Handy,login,small
2025-07-20 17:35:27,Ben,success,Berlin,PC,login,small
